날짜,카테고리,매출
2026-09-01,아이스크림,1209998173
2026-09-01,케이크,317070110
2026-09-01,디저트,63069877
2026-09-01,음료/커피,56734752
2026-09-01,기타,8329938
2026-09-02,아이스크림,1365848708
2026-09-02,케이크,322752930
2026-09-02,디저트,70845633
2026-09-02,음료/커피,64933965
2026-09-02,기타,8908464
2026-09-03,아이스크림,1361372410
2026-09-03,케이크,321848580
2026-09-03,디저트,74555137
2026-09-03,음료/커피,70519198
2026-09-03,기타,9198295
2026-09-04,아이스크림,1819976623
2026-09-04,케이크,407742600
2026-09-04,디저트,90804942
2026-09-04,음료/커피,78112864
2026-09-04,기타,11869881
2026-09-05,아이스크림,2811850316
2026-09-05,케이크,694362486
2026-09-05,디저트,119381569
2026-09-05,음료/커피,111745156
2026-09-05,기타,17684243
2026-09-06,아이스크림,2525781251
2026-09-06,케이크,511114649
2026-09-06,디저트,116039693
2026-09-06,음료/커피,101136029
2026-09-06,기타,14300578
2026-09-07,아이스크림,1474045231
2026-09-07,케이크,281376355
2026-09-07,디저트,85120095
2026-09-07,음료/커피,65402509
2026-09-07,기타,8604170
2026-09-08,아이스크림,1521991877
2026-09-08,케이크,288935477
2026-09-08,디저트,89660123
2026-09-08,음료/커피,67239717
2026-09-08,기타,8542716
2026-09-09,아이스크림,1352947725
2026-09-09,케이크,278351177
2026-09-09,디저트,75598885
2026-09-09,음료/커피,57114399
2026-09-09,기타,7868024
2026-09-10,아이스크림,1424475558
2026-09-10,케이크,288430177
2026-09-10,디저트,79621258
2026-09-10,음료/커피,56861817
2026-09-10,기타,8426580
2026-09-11,아이스크림,1789656962
2026-09-11,케이크,368688370
2026-09-11,디저트,88933659
2026-09-11,음료/커피,74035237
2026-09-11,기타,11297221
2026-09-12,아이스크림,2689702824
2026-09-12,케이크,618304514
2026-09-12,디저트,143386005
2026-09-12,음료/커피,104974978
2026-09-12,기타,16374787
2026-09-13,아이스크림,2386414627
2026-09-13,케이크,468900814
2026-09-13,디저트,140865549
2026-09-13,음료/커피,93546842
2026-09-13,기타,13797417
2026-09-14,아이스크림,1397662935
2026-09-14,케이크,260871628
2026-09-14,디저트,89633003
2026-09-14,음료/커피,100910567
2026-09-14,기타,8106349
2026-09-15,아이스크림,1241850925
2026-09-15,케이크,275058746
2026-09-15,디저트,89882918
2026-09-15,음료/커피,88893907
2026-09-15,기타,7702368
2026-09-16,아이스크림,1665652172
2026-09-16,케이크,286710319
2026-09-16,디저트,93030022
2026-09-16,음료/커피,84601017
2026-09-16,기타,10023714
